PV1MATH,CNTSCHID,CNTSTUID,PAREDINT,HOMEPOS,HISEI,GRADE,ST004D01T,IMMIG,MATHEFF,ANXMAT,REPEAT,ST062Q01TA,DISCLIM,STUBEHA,STAFFSHORT,EDUSHORT,PROATCE,TEACHSUP,SCHLTYPE,ST059Q01TA,SC175Q01JA,ESCS
635.81,75600085.0,75600147.0,14.5,-0.8197,27.91,1.0,Male,Native student,-0.1705,-0.4577,Never repeated,One or two times,-1.0414,0.6482,-1.1673,-1.4212,1.0,-2.1346,Public,4.0,45.0,-0.7819
602.362,75600236.0,75600148.0,16.0,0.8764,72.83,1.0,Female,Native student,0.809,1.5426,Never repeated,Never,1.0761,-0.0871,-2.1066,-0.6884,0.9371,-2.9095,Public,4.0,50.0,1.0384
433.484,75600111.0,75600149.0,16.0,-0.2186,50.9,0.0,Male,Native student,,,Never repeated,Never,,0.2408,-0.4087,0.108,1.0,,Public,5.0,45.0,0.1606
497.393,75600135.0,75600150.0,14.5,-0.27,43.33,0.0,Male,Second-Generation student,-0.8328,-0.5191,Never repeated,Never,-0.1124,0.6935,0.0276,-1.4212,0.8,,Public,4.0,45.0,-0.2579
584.581,75600065.0,75600151.0,16.0,-0.6404,75.5,0.0,Male,Native student,-1.3069,-2.249,Never repeated,Never,-0.5195,,,,,-0.5635,Public,5.0,,0.4464
478.008,75600155.0,75600152.0,16.0,1.0682,59.89,0.0,Male,Second-Generation student,-0.4977,-1.2756,Never repeated,Never,0.165,0.6764,0.0425,-1.4212,0.0217,0.1475,Public,4.0,45.0,0.8753
554.221,75600171.0,75600153.0,16.0,0.6607,,1.0,Female,Second-Generation student,0.2141,-0.0394,Never repeated,Never,0.3552,-2.0719,-0.5635,-0.2376,0.6571,-0.1002,Private independent,4.0,45.0,1.0406
456.171,75600244.0,75600154.0,14.5,0.7304,26.64,0.0,Male,Native student,-0.3227,-0.3794,Never repeated,Never,-0.5067,0.1795,0.4622,-0.3123,0.0,0.4357,Public,5.0,45.0,-0.1494
390.463,75600015.0,75600155.0,9.0,-0.3829,22.57,1.0,Female,First-Generation student,-0.1762,0.6647,Never repeated,Never,1.1182,0.976,-1.1673,-0.949,0.5769,-1.0693,Public,3.0,90.0,-1.6286
419.456,75600128.0,75600156.0,16.0,-0.5055,68.55,1.0,Female,Second-Generation student,-0.7742,0.544,Never repeated,Three or four times,0.123,-0.4428,-0.2982,-1.4212,0.9358,1.5558,Public,4.0,45.0,0.3723
